# Time [sec]	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.IsRMS	Rotor_Curr_Id	Rotor_Curr_Iq	Mcl_Quantities.Flux_Ref
------------	--------------------	-----------------------------	---------------------	-------------------------	--------------------	-------------	-------------	-----------------------
1104.89	0	0	0	0	0.00451481	-3.13007	0.0384701	0.0348544
1104.95	0	0	0	0	0.00451481	-3.13007	0.0384701	0.0348544
1105.02	0	0	0	0	0.00451481	-3.13007	0.0384701	0.0348544
1105.06	0	0	0	0	0.00451481	-3.13007	0.0384701	0.0348544
1105.11	0	0	0	0	0.00431527	-3.13007	0.0384701	0.0348544
1105.14	0	0	0	0	0.00431527	-3.13007	0.0384701	0.0348544
1105.22	0	0	0	0	0.00431527	-3.13007	0.0384701	0.0348544
1105.27	0	0	0	0	0.00431527	-3.13007	0.0384701	0.0348544
1105.31	0	0	0	0	0.00431527	-3.13007	0.0384701	0.0348544
1105.36	0	0	0	0	0.00433769	-3.13007	0.0384701	0.0348544
1105.41	0	0	0	0	0.00433769	-3.13007	0.0384701	0.0348544
1105.45	0	0	0	0	0.00433769	-3.13007	0.0384701	0.0348544
1105.52	0	0	0	0	0.00433769	-3.13007	0.0384701	0.0348544
1105.56	0	0	0	0	0.00433769	-3.13007	0.0384701	0.0348544
1105.59	0	0	0	0	0.00434434	-3.13007	0.0384701	0.0348544
1105.64	0	0	0	0	0.00434434	-3.13007	0.0384701	0.0348544
1105.7	0	0	0	0	0.00434434	-3.13007	0.0384701	0.0348544
1105.77	0	0	0	0	0.00434434	-3.13007	0.0384701	0.0348544
1105.81	0	0	0	0	0.00434434	-3.13007	0.0384701	0.0348544
1105.84	0	0	0	0	0.00421817	-3.13007	0.0384701	0.0348544
1105.89	0	0	0	0	0.00421817	-3.13007	0.0384701	0.0348544
1105.95	0	0	0	0	0.00421817	-3.13007	0.0384701	0.0348544
1106	0	0	0	0	0.00421817	-3.13007	0.0384701	0.0348544
1106.06	0	0	0	0	0.00421817	-3.13007	0.0384701	0.0348544
1106.11	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.16	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.22	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.27	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.31	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.34	0	0	0	0	0.0041505	-3.13007	0.0384701	0.0348544
1106.41	0	0	0	0	0.0043031	-3.13007	0.0384701	0.0348544
1106.45	0	0	0	0	0.0043031	-3.13007	0.0384701	0.0348544
1106.52	0	0	0	0	0.0043031	-3.13007	0.0384701	0.0348544
1106.56	0	0	0	0	0.0043031	-3.13007	0.0384701	0.0348544
1106.59	0	0	0	0	0.0043031	-3.13007	0.0384701	0.0348544
1106.67	0	0	0	0	0.00427068	-3.13007	0.0384701	0.0348544
1106.7	0	0	0	0	0.00427068	-3.13007	0.0384701	0.0348544
1106.77	0	0	0	0	0.00427068	-3.13007	0.0384701	0.0348544
1106.81	0	0	0	0	0.00427068	-3.13007	0.0384701	0.0348544
1106.86	0	0	0	0	0.00427068	-3.13007	0.0384701	0.0348544
1106.89	0	0	0	0	0.00433467	-3.13007	0.0384701	0.0348544
1106.97	0	0	0	0	0.00433467	-3.13007	0.0384701	0.0348544
1107.02	0	0	0	0	0.00433467	-3.13007	0.0384701	0.0348544
1107.06	0	0	0	0	0.00433467	-3.13007	0.0384701	0.0348544
1107.11	0	0	0	0	0.00433467	-3.13007	0.0384701	0.0348544
1107.16	0	0	0	0	0.0043588	-3.13007	0.0384701	0.0348544
1107.2	0	0	0	0	0.0043588	-3.13007	0.0384701	0.0348544
1107.27	0	0	0	0	0.0043588	-3.13007	0.0384701	0.0348544
1107.31	0	0	0	0	0.0043588	-3.13007	0.0384701	0.0348544
1107.34	0	0	0	0	0.0043588	-3.13007	0.0384701	0.0348544
1107.41	0	0	0	0	0.00424852	-3.13007	0.0384701	0.0348544
1107.45	0	0	0	0	0.00424852	-3.13007	0.0384701	0.0348544
1107.52	0	0	0	0	0.00424852	-3.13007	0.0384701	0.0348544
1107.56	0	0	0	0	0.00424852	-3.13007	0.0384701	0.0348544
1107.59	0	0	0	0	0.00424852	-3.13007	0.0384701	0.0348544
1107.64	0	0	0	0	0.00420822	-3.13007	0.0384701	0.0348544
1107.7	0	0	0	0	0.00420822	-3.13007	0.0384701	0.0348544
1107.77	0	0	0	0	0.00420822	-3.13007	0.0384701	0.0348544
1107.81	0	0	0	0	0.00420822	-3.13007	0.0384701	0.0348544
1107.86	0	0	0	0	0.00420822	-3.13007	0.0384701	0.0348544
1107.91	0	0	0	0	0.00422252	-3.13007	0.0384701	0.0348544
1107.97	0	0	0	0	0.00422252	-3.13007	0.0384701	0.0348544
1108.02	0	0	0	0	0.00422252	-3.13007	0.0384701	0.0348544
1108.06	0	0	0	0	0.00422252	-3.13007	0.0384701	0.0348544
1108.11	0	0	0	0	0.00422252	-3.13007	0.0384701	0.0348544
1108.16	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.22	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.27	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.31	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.34	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.39	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.45	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.52	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.56	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.61	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.64	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.72	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.77	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.81	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.86	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.91	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.97	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.02	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.06	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
