# Oscilloscope Data

# Seconds	Mcl_Quantities.Speed_Rot_Mech	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Torque	Mcl_Quantities.IsRMS	Mcl_Quantities.Stator_Flux_Mag	Mcl_IO.Vdc	SR_Overheating_Temp	ThermalModelCore_Y.WindingTemperature
2611.847	0	0	0	0	0.00386865	0.0931	185.219	55.6772	69.1193
2611.991	0	0	0	0	0.00395777	0.0931	183.487	55.6772	69.1153
2612.134	0	0	0	0	0.00408876	0.0931	181.647	55.6772	69.1119
2612.277	0	0	0	0	0.00408876	0.0931	179.915	55.6772	69.1079
2612.420	0	0	0	0	0.00415303	0.0931	178.183	55.6772	69.1039
2612.563	0	0	0	0	0.00415303	0.0931	176.451	55.6772	69.1005
2612.707	0	0	0	0	0.00405528	0.0931	174.502	55.6411	69.0965
2612.850	0	0	0	0	0.00405528	0.0931	172.77	55.6411	69.0924
2612.993	0	0	0	0	0.00421444	0.0931	171.038	55.6411	69.0884
2613.137	0	0	0	0	0.00421444	0.0931	169.198	55.6411	69.0851
2613.280	0	0	0	0	0.00381885	0.0931	167.249	55.6411	69.081
2613.423	0	0	0	0	0.00393384	0.0931	165.409	55.6411	69.077
2613.566	0	0	0	0	0.00393384	0.0931	163.677	55.6411	69.073
2613.709	0	0	0	0	0.00385847	0.0931	161.728	55.605	69.0696
2613.853	0	0	0	0	0.00385847	0.0931	159.672	55.605	69.0656
2613.996	0	0	0	0	0.00379406	0.0931	157.723	55.605	69.0616
2614.139	0	0	0	0	0.00379406	0.0931	155.883	55.605	69.0575
2614.282	0	0	0	0	0.00376909	0.0931	153.826	55.605	69.0542
2614.426	0	0	0	0	0.00397825	0.0931	151.877	55.605	69.0501
2614.585	0	0	0	0	0.00397825	0.0931	149.604	55.605	69.0461
2614.744	0	0	0	0	0.00403518	0.0931	147.331	55.569	69.0414
2614.903	0	0	0	0	0.00403518	0.0931	145.058	55.569	69.0374
2615.046	0	0	0	0	0.00376283	0.0931	143.001	55.569	69.0334
2615.221	0	0	0	0	0.00371938	0.0931	140.403	55.569	69.0287
2615.381	0	0	0	0	0.00371938	0.0931	137.913	55.569	69.0246
2615.540	0	0	0	0	0.00613612	0.0931	135.531	55.569	69.0199
2615.699	0	0	0	0	0.00613612	0.0931	133.042	55.533	69.0159
2615.858	0	0	0	0	0.00860925	0.0931	130.66	55.533	69.0119
2616.017	0	0	0	0	0.00874193	0.0931	127.846	55.533	69.0072
2616.176	0	0	0	0	0.00874193	0.0931	125.572	55.533	69.0031
2616.336	0	0	0	0	0.00847728	0.0931	122.649	55.533	68.9991
2616.495	0	0	0	0	0.00899997	0.0931	120.051	55.533	68.9945
2616.638	0	0	0	0	0.00899997	0.0931	117.562	55.4971	68.9911
2616.781	0	0	0	0	0.00926186	0.0931	115.18	55.4971	68.9872
2616.925	0	0	0	0	0.00926186	0.0931	112.474	55.4971	68.9832
2617.068	0	0	0	0	0.00942018	0.0931	109.876	55.4971	68.9792
2617.211	0	0	0	0	0.00942018	0.0931	107.169	55.4971	68.9759
2617.355	0	0	0	0	0.00949944	0.0931	104.571	55.4971	68.9719
2617.498	0	0	0	0	0.00949944	0.0931	101.649	55.4971	68.9679
2617.641	0	0	0	0	0.00965766	0.0931	313.281	55.4613	68.964
2617.785	0	0	0	0	0.00777075	0.0931	319.885	55.4613	68.9607
2617.928	0	0	0	0	0.00777075	0.0931	320.642	55.4613	68.9567
2618.071	0	0	0	0	0.00629183	0.0931	321.184	55.4613	68.9527
2618.214	0	0	0	0	0.00629183	0.0931	321.184	55.4613	68.9494
2618.357	0	0	0	0	0.00939592	0.0931	321.292	55.4613	68.9455
2618.501	0	0	0	0	0.00939592	0.0931	321.508	55.4613	68.9416
2618.644	0	0	0	0	0.00961739	0.0931	321.725	55.4256	68.9376
2618.787	0	0	0	0	0.00951791	0.0931	321.725	55.4256	68.9343
2618.931	0	0	0	0	0.00951791	0.0931	321.833	55.4256	68.9303
2619.074	0	0	0	0	0.00979996	0.0931	321.617	55.4256	68.9264
2619.217	0	0	0	0	0.00979996	0.0931	321.617	55.4256	68.9225
2619.360	0	0	0	0	0.00983762	0.0931	321.508	55.4256	68.9192
2619.504	0	0	0	0	0.00983762	0.0931	321.184	55.4256	68.9152
2619.647	0	0	0	0	0.00969667	0.0931	321.725	55.3899	68.9112
2619.790	0	0	0	0	0.00969667	0.0931	321.4	55.3899	68.9079
2619.933	0	0	0	0	0.00955036	0.0931	321.508	55.3899	68.904
2620.092	0	0	0	0	0.0096826	0.0931	321.617	55.3899	68.8994
2620.251	0	0	0	0	0.0096826	0.0931	321.508	55.3899	68.8954
2620.411	0	0	0	0	0.00955228	0.0931	321.617	55.3899	68.8915
2620.554	0	0	0	0	0.00955228	0.0931	321.617	55.3899	68.8875
2620.713	0	0	0	0	0.0097455	0.0931	321.508	55.3543	68.8836
2620.872	0	0	0	0	0.00983682	0.0931	321.508	55.3543	68.879
2621.031	0	0	0	0	0.00983682	0.0931	321.617	55.3543	68.875
2621.191	0	0	0	0	0.00953223	0.0931	321.508	55.3543	68.8711
2621.350	0	0	0	0	0.0094299	0.0931	321.617	55.3543	68.8665
2621.509	0	0	0	0	0.0094299	0.0931	321.617	55.3543	68.8625
2621.668	0	0	0	0	0.00952149	0.0931	321.725	55.3188	68.8579
2621.827	0	0	0	0	0.00952149	0.0931	321.725	55.3188	68.8539
2621.986	0	0	0	0	0.00944018	0.0931	321.725	55.3188	68.85
2622.130	0	0	0	0	0.00982695	0.0931	321.725	55.3188	68.846
2622.273	0	0	0	0	0.00982695	0.0931	321.617	55.3188	68.8421
2622.417	0	0	0	0	0.0099339	0.0931	321.617	55.3188	68.8381
2622.560	0	0	0	0	0.0099339	0.0931	321.725	55.3188	68.8348
2622.703	0	0	0	0	0.00965277	0.0931	321.617	55.2833	68.8308
2622.846	0	0	0	0	0.00965277	0.0931	321.617	55.2833	68.8269
2622.990	0	0	0	0	0.0096133	0.0931	321.508	55.2833	68.8236
2623.133	0	0	0	0	0.00952892	0.0931	321.725	55.2833	68.8196
2623.276	0	0	0	0	0.00952892	0.0931	321.617	55.2833	68.8157
2623.419	0	0	0	0	0.00973365	0.0931	321.617	55.2833	68.8118
2623.563	0	0	0	0	0.00973365	0.0931	321.508	55.2833	68.8085
2623.706	0	0	0	0	0.0097729	0.0931	321.184	55.248	68.8045
2623.849	0	0	0	0	0.0097729	0.0931	321.4	55.248	68.8006
2623.992	0	0	0	0	0.00989528	0.0931	321.617	55.248	68.7966
2624.136	0	0	0	0	0.00989528	0.0931	321.617	55.248	68.7933
2624.279	0	0	0	0	0.00931295	0.0931	321.508	55.248	68.7893
2624.422	0	0	0	0	0.00937049	0.0931	321.941	55.248	68.7854
2624.565	0	0	0	0	0.00937049	0.0931	321.725	55.248	68.7821
2624.709	0	0	0	0	0.00967827	0.0931	321.725	55.2126	68.7781
2624.852	0	0	0	0	0.00967827	0.0931	321.617	55.2126	68.7742
2624.995	0	0	0	0	0.00998628	0.0931	321.725	55.2126	68.7702
2625.138	0	0	0	0	0.00998628	0.0931	321.508	55.2126	68.7669
2625.282	0	0	0	0	0.00982855	0.0931	321.617	55.2126	68.763
2625.425	0	0	0	0	0.00982855	0.0931	321.617	55.2126	68.759
2625.584	0	0	0	0	0.00985546	0.0931	321.833	55.2126	68.7551
2625.743	0	0	0	0	0.00958763	0.0931	321.725	55.1774	68.7505
2625.902	0	0	0	0	0.00958763	0.0931	321.941	55.1774	68.7465
2626.046	0	0	0	0	0.00949502	0.0931	321.617	55.1774	68.7426
2626.205	0	0	0	0	0.00951212	0.0931	321.617	55.1774	68.7386
2626.364	0	0	0	0	0.00951212	0.0931	321.4	55.1774	68.7346
2626.523	0	0	0	0	0.00965413	0.0931	321.617	55.1774	68.73
2626.682	0	0	0	0	0.00965413	0.0931	321.617	55.1422	68.7261
2626.841	0	0	0	0	0.00990747	0.0931	321.617	55.1422	68.7222
2627.001	0	0	0	0	0.0097064	0.0931	321.617	55.1422	68.7175
2627.160	0	0	0	0	0.0097064	0.0931	321.725	55.1422	68.7136
2627.319	0	0	0	0	0.00953167	0.0931	321.833	55.1422	68.709
2627.478	0	0	0	0	0.00953167	0.0931	321.292	55.1422	68.705
2627.622	0	0	0	0	0.00962093	0.0931	321.617	55.1422	68.701
2627.765	0	0	0	0	0.009662	0.0931	321.617	55.1071	68.6978
2627.908	0	0	0	0	0.009662	0.0931	321.508	55.1071	68.6938
2628.051	0	0	0	0	0.0101439	0.0931	321.508	55.1071	68.6899
2628.195	0	0	0	0	0.0101439	0.0931	321.617	55.1071	68.6859
2628.338	0	0	0	0	0.0103009	0.0931	321.508	55.1071	68.6826
2628.481	0	0	0	0	0.0103009	0.0931	321.617	55.1071	68.6786
2628.624	0	0	0	0	0.010059	0.0931	321.617	55.1071	68.6747
2628.768	0	0	0	0	0.0100778	0.0931	321.617	55.072	68.6714
2628.911	0	0	0	0	0.0100778	0.0931	321.508	55.072	68.6674
2629.054	0	0	0	0	0.00993943	0.0931	321.725	55.072	68.6635
2629.198	0	0	0	0	0.00993943	0.0931	321.508	55.072	68.6595
2629.341	0	0	0	0	0.00985359	0.0931	321.4	55.072	68.6563
2629.484	0	0	0	0	0.00985359	0.0931	321.617	55.072	68.6523
2629.627	0	0	0	0	0.00764935	0.0931	321.725	55.072	68.6483
2629.771	0	0	0	0	0.00764935	0.0931	321.508	55.0371	68.6443
2629.914	0	0	0	0	0.00602488	0.0931	321.617	55.0371	68.641
2630.057	0	0	0	0	0.00458111	0.0931	321.508	55.0371	68.637
2630.200	0	0	0	0	0.00458111	0.0931	321.617	55.0371	68.6331
2630.344	0	0	0	0	0.00447983	0.0931	321.508	55.0371	68.6291
2630.487	0	0	0	0	0.00447983	0.0931	321.725	55.0371	68.6258
2630.630	0	0	0	0	0.0044019	0.0931	321.508	55.0371	68.6219
2630.773	0	0	0	0	0.0044019	0.0931	321.186	55.0022	68.6179
2630.917	0	0	0	0	0.00468188	0.0931	321.833	55.0022	68.6146
2631.076	0	0	0	0	0.00446987	0.0931	321.833	55.0022	68.61
2631.235	0	0	0	0	0.00446987	0.0931	321.508	55.0022	68.606
2631.394	0	0	0	0	0.00437021	0.0931	321.617	55.0022	68.6014
2631.538	0	0	0	0	0.00437021	0.0931	321.508	55.0022	68.5981
2631.697	0	0	0	0	0.00441973	0.0931	321.508	54.9673	68.5935
2631.856	0	0	0	0	0.0043031	0.0931	321.508	54.9673	68.5896
2632.015	0	0	0	0	0.0043031	0.0931	321.4	54.9673	68.5856
2632.174	0	0	0	0	0.00439056	0.0931	321.508	54.9673	68.581
2632.333	0	0	0	0	0.00439056	0.0931	321.617	54.9673	68.5771
2632.492	0	0	0	0	0.004286	0.0931	321.725	54.9673	68.5731
2632.651	0	0	0	0	0.00437321	0.0931	321.617	54.9325	68.5685
2632.811	0	0	0	0	0.00437321	0.0931	321.508	54.9325	68.5645
2632.970	0	0	0	0	0.00475909	0.0931	321.617	54.9325	68.5599
2633.113	0	0	0	0	0.00475909	0.0931	321.4	54.9325	68.5566
2633.257	0	0	0	0	0.00439534	0.0931	321.833	54.9325	68.5527
