Time,Voltage
0,4.50182E-17
1,-.0143889
2,-2.834078E-02
3,-4.143826E-02
4,-5.330208E-02
5,-6.360741E-02
6,-7.209716E-02
7,-7.859128E-02
8,-8.299185E-02
9,-8.528378E-02
10,-8.553087E-02
11,-8.386796E-02
12,-.0804895
13,-7.563546E-02
14,-6.957542E-02
15,-6.259201E-02
16,-5.496484E-02
17,-4.695517E-02
18,-.0387934
19,-3.066912E-02
20,-2.272436E-02
21,-1.505074E-02
22,-7.689916E-03
23,-6.3745E-04
24,6.150539E-03
25,1.274845E-02
26,1.925097E-02
27,2.576222E-02
28,.0323851
29,3.921169E-02
30,4.631539E-02
31,5.374512E-02
32,6.152207E-02
33,6.963914E-02
34,.0780626
35,.0867363
36,9.558721E-02
37,.1045326
38,.1134874
39,.1223713
40,.1311157
41,.1396688
42,.1479988
43,.1560964
44,.1639737
45,.1716622
46,.1792092
47,.1866721
48,.1941127
49,.2015917
50,.209162
51,.2168644
52,.2247239
53,.2327473
54,.2409231
55,.2492227
56,.2576035
57,.2660123
58,.2743913
59,.2826824
60,.2908333
61,.2988012
62,.3065577
63,.3140898
64,.3214019
65,.328514
66,.3354602
67,.3422847
68,.3490376
69,.3557705
70,.3625302
71,.369356
72,.3762747
73,.3832985
74,.390424
75,.3976329
76,.4048931
77,.4121628
78,.4193933
79,.4265354
80,.4335424
81,.440376
82,.4470089
83,.4534281
84,.4596362
85,.4656505
86,.4715026
87,.4772345
88,.4828951
89,.4885352
90,.4942045
91,.499944
92,.5057852
93,.5117458
94,.5178288
95,.5240216
96,.5302996
97,.536626
98,.542958
99,.5492496
100,.5554595
101,.5615506
102,.5674977
103,.5732898
104,.5789302
105,.5844366
106,.5898421
107,.5951887
108,.6005246
109,.6059017
110,.611367
111,.6169595
112,.6227068
113,.6286213
114,.6346981
115,.6409165
116,.6472406
117,.6536233
118,.6600098
119,.6663443
120,.6725741
121,.6786546
122,.6845565
123,.690266
124,.6957878
125,.7011448
126,.7063769
127,.7115356
128,.7166804
129,.7218722
130,.7271676
131,.7326121
132,.7382347
133,.7440456
134,.7500331
135,.7561646
136,.7623887
137,.7686396
138,.7748433
139,.7809265
140,.7868224
141,.7924795
142,.7978674
143,.8029817
144,.807847
145,.8125145
146,.817062
147,.8215843
148,.8261861
149,.8309727
150,.8360364
151,.8414469
152,.8472397
153,.8534081
154,.8598984
155,.8666068
156,.8733809
157,.8800272
158,.8863198
159,.8920142
160,.896862
161,.9006289
162,.9031113
163,.9041528
164,.9036576
165,.9015995
166,.8980309
167,.8930803
168,.8869492
169,.879904
170,.8722609
171,.8643681
172,.8565889
173,.8492785
174,.8427653
175,.8373321
176,.8332005
177,.830521
178,.8293652
179,.8297263
180,.831522
181,.8346045
